"type","sim_ind","est","ci_low","ci_upp"
"rndm",8,0.00967704865901347,0.00934652503470752,0.0100050767961578
"rndm",8,1.50136538091796,1.44232185056509,1.54902343965769
"rndm",8,0.27675169083032,0.267962509190144,0.284677089611107
"rndm",8,6.60986726645294,6.3990805647938,6.79755152780916
"rndm",8,0.131563614551249,0.126855806516779,0.135957026961306
"rndm",8,3.11111994656787,3.01597760089988,3.2408450914145
"rndm",8,0.0390598494363529,0.0379228879757575,0.0406844734956953
"rndm",8,0.390342447432461,0.37843868968324,0.407881484305792
"rndm",8,5.22903226165357e-09,5.08823074359707e-09,5.38729107787672e-09
"rndm",8,0.90414296049138,0.873918292934114,0.932614918878725
"clst",8,0.00905668388611762,0.00756268838798855,0.0104139571517155
"clst",8,1.50891730112223,1.28137022694394,1.72792221015638
"clst",8,0.279547117000627,0.230240103312192,0.329203236596403
"clst",8,6.08078393654129,5.14755316927208,7.2880113453665
"clst",8,0.118893848596179,0.102649107863155,0.138102465687149
"clst",8,2.79944396434473,2.35806719557712,3.20486474388033
"clst",8,0.0378435628565288,0.0319942327656738,0.0441221520188001
"clst",8,0.392743162349907,0.337049511838011,0.458544810485035
"clst",8,5.38667890669497e-09,4.64713315923327e-09,6.26109028230009e-09
"clst",8,0.966565879543945,0.843235078046551,1.09194614233208
"rndm",8,0.0119697023665658,0.00995417922908211,0.0137994008064095
"rndm",8,1.49875253185411,1.28080918795157,1.77150514082933
"rndm",8,0.286880099058616,0.244707101704242,0.327558091201839
"rndm",8,5.86340715340342,5.03789591891007,7.02457344270349
"rndm",8,0.140269210640491,0.120808528450689,0.167036394250767
"rndm",8,3.08919172002654,2.67220768822606,3.58420886351436
"rndm",8,0.0332887992346469,0.0286308245013566,0.0384127785292673
"rndm",8,0.327618767446928,0.286382610989447,0.376495945153353
"rndm",8,4.95551753252746e-09,4.40481803708966e-09,5.90000347974562e-09
"rndm",8,0.83651599159186,0.714453055153615,0.920137408018105
