"type","sim_ind","est","ci_low","ci_upp","sig"
"full",12,0.438423445055476,0.42401702762802,0.455021119877555,0.36
"full",12,0.00104630056263875,0.00101184111188389,0.001087038000673,0.21
"full",12,0.00845424725221955,0.00820475681851811,0.00871101621752072,0.33
"full",12,0.754834970279519,0.731041109275486,0.779037790165881,0.77
"full",12,0.397369746744865,0.38242685199522,0.415085505372327,0.12
"full",12,0.268107567116866,0.260073469415733,0.276742605340054,0
"full",12,0.0126579310269073,0.0122429345614542,0.0131946518564194,0.31
"full",12,0.217329990618654,0.212120095274647,0.224740542067395,0.45
"full",12,0.103595492224654,0.101056955756693,0.106752302631464,0.26
"full",12,0.167695314350312,0.161495417067426,0.173618052752411,0.3
"clst",12,0.472600281329119,0.414479098038586,0.546165311610288,0.32
"clst",12,0.000948719731286786,0.000810695020235377,0.00112134122601014,0.2
"clst",12,0.00826857203468239,0.00731659515279636,0.00998622351686401,0.75
"clst",12,0.733128834939402,0.630698606645177,0.839902734708659,0.75
"clst",12,0.352984560922351,0.296876147962809,0.40654196444948,0.12
"clst",12,0.299970450676958,0.248747682150863,0.357632357179366,0.21
"clst",12,0.0121897857151995,0.0103936443481967,0.0142705083856773,0.67
"clst",12,0.224934816784868,0.194080215199149,0.26348931265205,0.64
"clst",12,0.0989295063006342,0.0845570680805631,0.116533940064101,0.57
"clst",12,0.160371259169,0.136872616716384,0.181702831257325,0.7
"rndm",12,0.524291689844436,0.455052409650498,0.619256130349846,0.02
"rndm",12,0.00111608928244259,0.000965179187014279,0.00128677447360714,0.48
"rndm",12,0.00919890037973009,0.00777358207136417,0.0108066325470332,0.26
"rndm",12,0.706735609652586,0.588442118796316,0.833212879311619,0.44
"rndm",12,0.422219500995296,0.364306033361018,0.495027757844294,0.39
"rndm",12,0.229445396818286,0.199804919354509,0.257295530614124,0.08
"rndm",12,0.0109049246661152,0.00939290672266439,0.012322202050451,0.08
"rndm",12,0.243725673452002,0.207945715275622,0.27565328526546,0.21
"rndm",12,0.0883831055955726,0.0752224974572682,0.104319342812795,0.05
"rndm",12,0.142915087493413,0.122072623123682,0.163542276829817,0.02
